"ID"	"TvFl"	"Fag"	"Ob"	"Klar"	"Trpt"	"Trmb"	"Tuba"	"Horn"	"Vln"	"Vla"	"Vlc"	"Kb"	"Slgv"	"EgErf0"	"EgErfNyb"	"EgErfMel"	"EgErfHö"	"Utb0"	"Utb1o2"	"Utb3o4"	"Utb5o6"	"Utb7o8"	"Utb9"	"KsPriv"	"KsKom"	"KsStfb"	"Avg"	"StStad"	"MelStad"	"LitStad"	"Fr1Allt"	"Fr1Ofta"	"Fr1Sällan"	"Fr1Aldr"	"Fr2o3Allt"	"Fr2o3Ofta"	"Fr2o3Sällan"	"Fr2o3Aldr"	"Fr4o5Allt"	"Fr4o5Ofta"	"Fr4o5Sällan"	"Fr4o5Aldr"	"Fr6o12Allt"	"Fr6o12Ofta"	"Fr6o12Sällan"	"Fr6o12Aldr"	"Fr13Allt"	"Fr13Ofta"	"Fr13Sällan"	"Fr13Aldr"	"UppGrlML"	"UppGrL"	"UppGrLoS"	"UppGrS"	"UppGrMS"	"UppIndML"	"UppIndL"	"UppIndLoS"	"UppIndS"	"UppIndMS"	"UppGrMF"	"UppGrF"	"UppGrFoOF"	"UppGrOF"	"UppGrMOF"	"UppIndMF"	"UppIndF"	"UppIndFoOF"	"UppInfOF"	"UppIndMOF"	"UppGrTrML"	"UppGrTrL"	"UppGrTrLoS"	"UppGrTrS"	"UppGrTrMS"	"UppIndTrML"	"UppIndTrL"	"UppIndTrLoS"	"UppIndTrS"	"UppIndTrMS"	"UppGrUtvML"	"UppGrUtvL"	"UppGrUtvLoS"	"UppGrUtvS"	"UppGrUtvMS"	"UppIndUtvML"	"UppIndUtvL"	"UppIndUtvLoS"	"UppIndUtvS"	"UppIndUtvMS"	"UtbFöMB"	"UtbFöB"	"UtbFöBoD"	"UtbFöD"	"UtbFöMD"	"FbBeh"	"År20o29"	"År30o39"	"År40o49"	"År50o59"	"År60"	"ÅrVeUppge"
1	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	600	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"
2	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	680	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"
3	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	600	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"
4	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	300	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"
5	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	300	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"
6	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	300	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"
7	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	600	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"
8	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	300	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"
9	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	300	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"
10	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	500	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"
11	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	300	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"
12	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	300	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"
13	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	NA	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"
15	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	700	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"
17	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	650	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"
18	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	1400	"Nej"	"Nej"	"Ja"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"	"Ja"	"Nej"	"Nej"	"Nej"	"Nej"	"Ja"	"Nej"
